ASIN,Product Name,Brand,Category,Verdict,Composite Score,Current Price,FBA Fee,Est ROI %,Existing Account Found,Existing Account Name,Trade Price Found,Trade Price,Real ROI %,ROI Change,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Notes,Outreach Email File
B00485CQNW,HEAD Base Backpack 17L NV,HEAD,Sports & Outdoors,MAYBE-ROI,6.8,GBP26.83,GBP3.93,3.3%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B09M7FXSMR,Sure Shot Matthew Syed Bulk Table Tennis Balls - box of 144,Sure Shot,Sports & Outdoors,MAYBE,7.2,GBP24.99,GBP3.49,4.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FZ2RH4R8,TOURBON Portable Nylon Golf Bag Lightweight Sunday Carry Bag Foldable Golf Club Travel Training Case,TOURBN,Sports & Outdoors,MAYBE,7.7,GBP24.99,GBP2.98,7.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0B5G31VRN,"AXKAL Tennis Balls Bulk Orange for Kids Dogs Practice Low Compression Stage 9 16 Pack, Tennis Balls Non Slip Rubber Good for Beginner Training Ball Tool (16 Pack-Orange)",AXKAL,Sports & Outdoors,MAYBE,7.7,GBP26.99,GBP2.98,8.8%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07PNBD2NL,Vermont Tennis Net Targets - Green and Orange Tennis Targets - Carry Bag Included,Vermont,Sports & Outdoors,MAYBE-ROI,6.6,GBP49.98,GBP6.99,5.8%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0F6SYSPSQ,Hockey Black Golf Club Driver Headcovers Cover Protector,CRAFTSMAN GOLF,Sports & Outdoors,MAYBE-ROI,6.9,GBP21.99,GBP3.04,3.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FH4X9TYT,"AXKAL Lady Golf Glove Ladies Women Left Hand Right Leather With Ball Marker Value 3 Pack (Not In Pair), Gloves Durable Soft Good Grip Fit Small Medium Large XL (Pink, S, Right)",AXKAL,Sports & Outdoors,MAYBE-ROI,6.5,GBP22.99,GBP2.72,6.9%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07XY8M2BT,"Titleist Jet Black Leather Golf Headcover, Fairway, Black/Red",Titleist,Sports & Outdoors,BRAND APPROACH,6.8,GBP50.00,GBP2.96,18.7%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0CY5JPKVW,"VERMONT TS100 Table Tennis Table Replacement Parts | Choose from 13 Replacement Parts for Improved Stability, Functionality, and Safety (Leg Support Arm)",Vermont,Sports & Outdoors,MAYBE,7.3,GBP37.98,GBP0.00,27.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B09K7VZ2Y5,"Wilson Serena Elite 103 Adults Tennis Racket Black/Gold (Grip 3 (4 3/8""))",Wilson,Sports & Outdoors,MAYBE-ROI,6.7,GBP59.99,GBP4.65,16.3%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B00DGCNSE4,MacWet Mens & Ladies 1 Pair Short Mesh Sports Gloves - Black/White 9.5,MacWet,Sports & Outdoors,BRAND APPROACH,6.9,GBP34.99,GBP0.00,26.8%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FNFVR5G3,Bridgestone Golf Tour B RXS White,Bridgestone Golf,Sports & Outdoors,MAYBE-ROI,6.7,GBP39.95,GBP2.94,15.9%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B09XBQBH4P,Benross Golf 4 Pocket 49-55” Junior Lightweight Waterproof Green Stand Bag,BENROSS,Sports & Outdoors,BRAND APPROACH,6.5,GBP49.99,GBP5.70,10.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B08YRX48N9,"Wilson Federer Junior Tennis Racket, Protective Cover & Tennis Balls (19"", 21"", 23"", 25"" & 26"") (25"" + Balls)",Wilson,Sports & Outdoors,BRAND APPROACH,6.6,GBP44.99,GBP4.80,11.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FXGMCLWH,"Butterfly Timo Boll Comfort Table Tennis Racket Control Ping Pong Bat with Spryer 1.7mm Rubber, 5-Ply Blade, Lightweight Design for Beginners, Youth & Players with Small Hands",Butterfly,Sports & Outdoors,MAYBE-ROI,6.6,GBP29.99,GBP2.72,12.3%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07HN4DZYJ,"CALLAWAY Men's Gloves Opti Grip (Pack of 2), Black, Large",Callaway,Sports & Outdoors,MAYBE,7.4,GBP22.00,GBP2.10,10.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B01LX9VZDD,"Nivia Heavy Tennis Ball Cricket Ball, White (6-Pack)",Nivia,Sports & Outdoors,MAYBE-ROI,6.9,GBP28.60,GBP2.97,10.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FL2S5VR3,"HEAD Paw Patrol 21 Junior Tennis Racquet, white",HEAD,Sports & Outdoors,MAYBE-ROI,6.6,GBP26.38,GBP3.93,2.8%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B003BK91CE,"Longridge Castle Golf Tees - (Blue, 17mm, 1000 Pieces Bulk)",Longridge,Sports & Outdoors,MAYBE,7.2,GBP22.95,GBP3.26,3.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B076HM7SCW,FORB Academy Golf Practice Mat [5ft x 3.2ft] | Professional Artificial Turf Hitting Mat with 3 Rubber Tees | Golf Training Aids – 13mm Thickness,FORB,Sports & Outdoors,MAYBE,7.7,GBP49.99,GBP8.82,0.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B09BZGS9BP,Carlton Nanoblade Tour 2 Player Adult Badminton Set,Carlton,Sports & Outdoors,BRAND APPROACH,7.4,GBP27.99,GBP4.65,0.4%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0DSW5N6YB,HEAD Radical 27 Tennis Racket,HEAD,Sports & Outdoors,BRAND APPROACH,7.2,GBP26.50,GBP4.65,-1.3%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0C2F5BCKK,"Tournament 4 Player Set, BLACK/RED, BLACK/BLUE",Carlton,Sports & Outdoors,MAYBE-ROI,6.9,GBP25.71,GBP4.65,-2.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B000RG12X6,"Longridge BA5P Pencil Golf Bag, Black/Navy, 5"", One Size",Longridge,Sports & Outdoors,MAYBE-ROI,6.8,GBP23.25,GBP3.93,-0.9%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0DX2JZJ3C,"Wilson Intrigue Jr 25 Tennis Racket, Lightweight Frame for Easy Handling, Performance-Ready Providing Stable Play and Powerful Shots, Arm-Friendly Strings, Colour: Teal/Blue, Size: 25",Wilson,Sports & Outdoors,MAYBE-ROI,6.9,GBP25.99,GBP4.50,-1.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0D9X17LRN,"Qivine Tennis Racket Set 2 Players Tennis Training Equipment for Kids Child, Outdoor Sport Activity with 2 Tennis Rackets, 1 Tennis Balls and Carry Bag, Beginner Practice Racquet 21""",Qivine,Sports & Outdoors,MAYBE,7.5,GBP20.99,GBP3.93,-4.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07NDWQ5XH,"SMATI Large Transparent Golf Umbrella, Diameter 124cm, Automatic opening, Men/Women Umbrella, For 2 people, Black Border Colour",SMATI,Sports & Outdoors,MAYBE,7.1,GBP22.90,GBP4.35,-4.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0DX2KMHXB,"Wilson Champ 90 Badminton Racket, Dynamic Frame For Enhanced Strength, Vibrant Two-Tone Design, Comes Pre-Strung, Colour: Blue/White, Size: 3",Wilson,Sports & Outdoors,MAYBE-ROI,6.9,GBP22.00,GBP4.50,-6.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FL4GRN1R,Wilson Champ Badminton Racket & Racketworld Premium Badminton Carry Case,Generic,Sports & Outdoors,BRAND APPROACH,7.2,GBP25.95,GBP4.50,-1.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0CT298VVV,"SPORTNOW 3(m) Badminton Net, Foldable Height Adjustable Outdoor Sports Net with Carry Bag, for Tennis, Badminton, Pickleball, Volleyball, Black and Yellow",SPORTNOW,Sports & Outdoors,MAYBE-ROI,6.6,GBP26.47,GBP4.95,-3.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0GKBCP4F8,"Babolat Eagle Tennis Racket, Black/Blue (Available in Grip Size L2 & L3) (L2 (4 1/4""))",Babolat,Sports & Outdoors,BRAND APPROACH,7.5,GBP29.99,GBP17.64,-64.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
