SKU,"Product Name",Brand,"New In","HS Code",Barcode,Origin,Availability,Price,URL
SCS17357,"Skin Academy Botanical Beauty Cleansing Micellar Water - 200ml (3277) (33277-100) FF/135","Skin Academy",No,"HS 3304.9900","EAN 5031413933277","United Kingdom","in stock",1.95,https://store.shure-cosmetics.co.uk/skin-academy-botanical-beauty-cleansing-micellar-ac
SCS17038,"Skin Academy Botanical Beauty Hydrating Facial Scrub Gel - 125ml (3192) (33192-100) FF/131","Skin Academy",No,"HS 3304.9900","EAN 5031413933192","United Kingdom","in stock",1.95,https://store.shure-cosmetics.co.uk/skin-academy-botanical-beauty-hydrating-facial-scrub-io
SCS17035,"Skin Academy Botanical Beauty Hydrating Night Cream - 50ml (3253) (33253-100) FF/134","Skin Academy",No,"HS 3304.9900","EAN 5031413933253","United Kingdom","in stock",1.95,https://store.shure-cosmetics.co.uk/skin-academy-botanical-beauty-hydrating-night-cream-ry
SCS17353,"Skin Academy Botanical Beauty Nourishing Facial Serum - 30ml (3130) (33130-100) FF.C/48","Skin Academy",No,"HS 3304.9900","EAN 5031413933130","United Kingdom","in stock",1.95,https://store.shure-cosmetics.co.uk/skin-academy-botanical-beauty-nourishing-facial-serum-rd
SCS17039,"Skin Academy Botanical Beauty Soothing Cleansing Milk - 125ml (3291) (33291-100) FF.B/18a","Skin Academy",No,"HS 3304.9900","EAN 5031413933291","United Kingdom","in stock",1.95,https://store.shure-cosmetics.co.uk/skin-academy-botanical-beauty-soothing-cleansing-milk-ic
SCS21765,"Skin Academy Collagen Fabric Sheet Mask - 2 Masks (7690) (87690-100) FF.C/10h","Skin Academy",No,"HS 3304.9900","EAN 5031413987690",China,"out of stock",0.95,https://store.shure-cosmetics.co.uk/skin-academy-collagen-fabric-sheet-mask-2-masks-7690-wp
SCS21766,"Skin Academy Cucumber Fabric Sheet Mask - 2 Masks (7132) (97132-100) FF.C/10k","Skin Academy",No,"HS 3304.9900","EAN 5031413997132",China,"out of stock",0.95,https://store.shure-cosmetics.co.uk/skin-academy-cucumber-fabric-sheet-mask-2-masks-7132-ax
SCS21767,"Skin Academy Cucumber Gel Eye Patches - 4 Treatments (7782) (87782-100) FF.C/10a","Skin Academy",No,"HS 3304.9900","EAN 5031413987782",China,"in stock",0.95,https://store.shure-cosmetics.co.uk/skin-academy-cucumber-gel-eye-patches-4-treatments-fw
SCS21760,"Skin Academy Indulge Detoxifying Mud Mask - 80ml (1985) (11985-100) FF.C/10f","Skin Academy",No,"HS 3304.9900","EAN 5031413911985",China,"out of stock",1.6,https://store.shure-cosmetics.co.uk/skin-academy-indulge-detoxifying-mud-mask-80ml-1985-rt
SCS21762,"Skin Academy Indulge Firming Facial Oil - 30ml (0966) (90966-100) FF.C/10b","Skin Academy",No,"HS 3304.9900","EAN 5031413990966","United Kingdom","out of stock",1.6,https://store.shure-cosmetics.co.uk/skin-academy-indulge-firming-facial-oil-30ml-0966-fc
