supplier,supplier_sku,ean,product_name,match_type,supplier_price_basis,case_qty,unit_cost_ex_vat,unit_cost_inc_vat,case_cost_ex_vat,case_cost_inc_vat,decision,decision_reason,risk_flags
Shure Cosmetics,SCS61554,,Airpure Ceramic Grey Collection Wax Melter (Options) - Dark Grey,UNIT,UNIT,1,0.85,1.02,,,REJECT,Invalid or missing EAN,
Shure Cosmetics,SCS61555,,Airpure Ceramic Wax Melter (Options) - Red,UNIT,UNIT,1,0.85,1.02,,,REJECT,Invalid or missing EAN,
Shure Cosmetics,SCS61555,,Airpure Ceramic Wax Melter (Options) - Purple,UNIT,UNIT,1,0.85,1.02,,,REJECT,Invalid or missing EAN,
Shure Cosmetics,SCS61555,,Airpure Ceramic Wax Melter (Options) - Pink,UNIT,UNIT,1,0.85,1.02,,,REJECT,Invalid or missing EAN,
Shure Cosmetics,SCS61555,,Airpure Ceramic Wax Melter (Options) - Green,UNIT,UNIT,1,0.85,1.02,,,REJECT,Invalid or missing EAN,
Shure Cosmetics,SCS24137,5060194130292,Airpure Cherry Berry 8 Air Freshening Wax Melts - 86g (0292),UNIT,UNIT,1,0.75,0.8999999999999999,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS16153,5060194136126,Airpure Cinnamon Spice Scented Large Jar Candle - 510g (6126),UNIT,UNIT,1,3.35,4.02,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS23568,5060194139677,Airpure Citronella Candle - 95g (9677),UNIT,UNIT,1,0.75,0.8999999999999999,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS16546,5060194130339,Airpure Citrus Zing Air Freshener Refill Tin - 250ml (0339),UNIT,UNIT,1,0.85,1.02,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS17990,5060194132869,Airpure Citrus Zing Airpure & Fresh Trigger Air Freshener Spray - 250ml (2869),UNIT,UNIT,1,0.95,1.14,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS17172,5060194134030,Airpure Coca-Cola 3D Car Vent Clip Air Freshener - Original (4030),UNIT,UNIT,1,1.35,1.62,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS17170,5060194134054,Airpure Coca-Cola 3D Car Vent Clip Air Freshener - Vanilla (4054),UNIT,UNIT,1,1.35,1.62,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61500,5060194139080,Airpure Cosy Christmas 8 Air Freshening Wax Melts - 86g (9080),UNIT,UNIT,1,0.75,0.8999999999999999,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61268,5060194139905,Airpure Designer Collection Adventurous Body Spray - 150ml (9905),UNIT,UNIT,1,0.95,1.14,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61260,5061092120019,Airpure Designer Collection Bonjour Belle Air Freshener Refill Tin - 250ml (0019),UNIT,UNIT,1,1.05,1.26,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS61263,5060194139875,Airpure Designer Collection Bonjour Belle Body Spray - 100ml (9875),UNIT,UNIT,1,0.75,0.8999999999999999,,,REJECT,No Amazon match found,
Shure Cosmetics,SCS55904,5061092120033,Airpure Designer Collection Bonjour Belle Trigger Air Freshener Spray - 250ml (0033),UNIT,UNIT,1,1.1,1.32,,,REJECT,No Amazon match found,
