ASIN,Locale,Image,Title,Bought in past month,Buy Box: Current,Amazon: Current,Buy Box: 90 days avg.,Buy Box: 90 days drop %,New Offer Count: Current,Sales Rank: 90 days avg.,Sales Rank: 90 days drop %,Sales Rank: Drops last 90 days,Sales Rank: Reference,Sales Rank: Display Group,Sales Rank: Subcategory Sales Ranks,Sales Rank: Current,90 days change % monthly sold,Return Rate,Reviews: Rating,Reviews: Rating Count,Reviews: Rating Count - 90 days drop %,Reviews: Review Count - Format Specific,Last Price Change,Buy Box: Stock,Buy Box: 90 days OOS,Buy Box: Buy Box Seller,Buy Box: Shipping Country,Buy Box: Strikethrough Price,Buy Box: % Amazon 90 days,Buy Box: % Top Seller 90 days,Buy Box: Winner Count 90 days,Buy Box: Standard Deviation 90 days,Buy Box: Flipability 90 days,Buy Box: Is FBA,Buy Box: Unqualified,Buy Box: Prime Eligible,Buy Box: Subscribe & Save,Amazon: 90 days avg.,Amazon: 90 days drop %,Amazon: Stock,Amazon: 90 days OOS,New: Current,New: 90 days avg.,New: 90 days drop %,New: 90 days OOS,"New, 3rd Party FBA: Current","New, 3rd Party FBA: 90 days avg.","New, 3rd Party FBA: 90 days drop %","New, 3rd Party FBA: Stock",FBA Pick&Pack Fee,Referral Fee %,Referral Fee based on current Buy Box price,"New, 3rd Party FBM: Current","New, 3rd Party FBM: 90 days avg.","New, 3rd Party FBM: 90 days drop %","New, 3rd Party FBM: Stock","New, Prime exclusive: Current","New, Prime exclusive: 90 days avg.","New, Prime exclusive: 90 days drop %",Lightning Deals: Current,Buy Box Used: Current,Buy Box Used: 90 days avg.,Buy Box Used: 90 days drop %,Buy Box Used: Buy Box Used Seller,Buy Box Used: Is FBA,Buy Box Used: Condition,Used: Current,Used: 90 days avg.,Used: 90 days drop %,Used: 90 days OOS,"Used, like new: Current","Used, like new: 90 days avg.","Used, like new: 90 days drop %","Used, very good: Current","Used, very good: 90 days avg.","Used, very good: 90 days drop %","Used, good: Current","Used, good: 90 days avg.","Used, good: 90 days drop %","Used, acceptable: Current","Used, acceptable: 90 days avg.","Used, acceptable: 90 days drop %",Warehouse Deals: Current,Warehouse Deals: 90 days avg.,Warehouse Deals: 90 days drop %,List Price: Current,List Price: 90 days avg.,List Price: 90 days drop %,eBay New: Current,eBay New: 90 days avg.,eBay New: 90 days drop %,eBay Used: Current,eBay Used: 90 days avg.,eBay Used: 90 days drop %,Total Offer Count,New Offer Count: 90 days avg.,Used Offer Count: Current,Used Offer Count: 90 days avg.,Tracking since,Listed since,URL: URL slug,Categories: Root,Categories: Sub,Categories: Tree,Website Display Group: Name,Product Codes: UPC,Product Codes: EAN,Product Codes: GTIN,Product Codes: PartNumber,Parent ASIN,Freq. Bought Together,Type,Manufacturer,Brand,Brand Store Name,Brand Store URL Name,Model,Variation Attributes,Color,Size,Unit Details: Unit Value,Unit Details: Unit Type,Scent,Item Form,Pattern,Style,Material,Item Type,Target Audience,Recommended Uses,Specific Uses,Product Benefit,Edition,Format,Author,Contributors,Binding,Number of Items,Number of Pages,Publication Date,Release Date,Languages,Videos: Video Count,Videos: Has Main Video,Videos: Main Videos,Videos: Additional Videos,A+ Content: Has A+ Content,Package: Dimension (cm³),Package: Weight (g),Package: Quantity,Item: Dimension (cm³),Item: Weight (g),Included Components,Ingredients,Active Ingredients,Special Ingredients,Safety Warning,Batteries Required,Batteries Included,Hazardous Materials,Is HazMat,Is heat sensitive,Adult Product,Is Merch on Demand,Trade-In Eligible,Deals: Deal Type,Deals: Badge,One Time Coupon: Absolute,One Time Coupon: Percentage,One Time Coupon: Subscribe & Save %,Business Discount: Percentage,Pre-filter Flags
B00OB9R6HQ,co.uk,https://m.media-amazon.com/images/I/810QemRH4YL.jpg;https://m.media-amazon.com/images/I/81tfNjDv60L.jpg;https://m.media-amazon.com/images/I/31zeQaxAJTL.jpg;https://m.media-amazon.com/images/I/61v7TX4HY5L.jpg;https://m.media-amazon.com/images/I/41XoDQ1qKdL.jpg,"Vitakraft Kracker Cockatiel Bird Food Honey-Eukalyptus, Pack of 5",50,24.06,,24.15,0 %,6,11457,12 %,44,Pet Supplies,pet_products_display_on_website,# 207 | Top 3% | Bird Food,10125,-4 %,,4.3,52,91 %,8,2026/03/19 21:12,26,1 %,WUNDAPETS (95%) / A31S8K8XFTNQB5,,-,0 %,60 %,6,0.70,17,yes,no,yes,yes,,,,100 %,24.06,23.49,-2 %,0 %,24.06,24.01,0 %,57,3.05,14.99 %,3.61,24.06,24.08,0 %,56,,,,,,,,,no,,,,,100 %,,,,,,,,,,,,,,,,18.95,18.95,0 %,,,,,,,6,5,,,2017/04/03,2014/10/05,Vitakraft-Kracker-Cockatiel-Bird-Honey-Eukalyptus,Pet Supplies,"Food, node 2, Pet Food & Nutrition, Pets All, Small Animal & Bird",Pet Supplies › Birds › Food,Pet Products,,4008239689313,04008239689313,B-08220,B0C34K3FRP,,PET_FOOD,Vitakraft,Vitakraft,Vitakraft,NorthernParrots,B-08220,FlavorName: Honey-Eukalyptus; Size: 80 g (Pack of 5);,,80 g (Pack of 5),400,gram,,Stick,,,,,,Birdcage treat/snack,Digestive Health,Supports bird health and provides mental stimulation,,,,,Target,5,,,2014-10-07,Spanish,0,no,,,no,4715,980,1,952,700,,I think,,Eukalyptus,,no,no,,no,no,no,no,no,,,-,,,,
B0D3G2Y9T2,co.uk,https://m.media-amazon.com/images/I/81TYiyeRwVL.jpg;https://m.media-amazon.com/images/I/81Ii9hICs+L.jpg;https://m.media-amazon.com/images/I/71Dr4-7vWzL.jpg;https://m.media-amazon.com/images/I/71JcjDLBOeL.jpg;https://m.media-amazon.com/images/I/717lzXAODrL.jpg;https://m.media-amazon.com/images/I/71Kq2DzEMFL.jpg;https://m.media-amazon.com/images/I/71emzf6Vv5L.jpg;https://m.media-amazon.com/images/I/81AO0n4bMQL.jpg;https://m.media-amazon.com/images/I/71p4v4qZlsL.jpg,"pecute Cat Backpack Carrier, Small Dog Backpack Carrier, Pet Backpack Carrier for Cats Dogs Puppy Kitten, Cat Carrier Bag Carrying for Travel Hiking Bike Riding Walking Outdoor",50,26.99,34.36,25.23,-7 %,3,10515,0 %,57,Pet Supplies,pet_products_display_on_website,# 15 | Top 0.04% | Cat Carriers,10533,-4 %,,4.7,362,,-,2026/03/19 21:24,68,0 %,Hometownclouds (100%) / A1YHP35JBV6WN7,,-,0 %,100 %,1,2.82,71,yes,no,yes,no,39.12,12 %,99,57 %,26.99,25.40,-6 %,0 %,,25.49,,71,3.15,15.03 %,4.06,,43.22,,,,,,,,,,,no,,25.64,20.37,-26 %,0 %,,,,,20.74,,,20.30,,,,,,20.34,,45.99,45.99,0 %,,,,,,,4,2,1,2,2024/10/26,2024/07/24,pecute-Backpack-Carrier-Carrying-Walking,Pet Supplies,"Carriers, node 2, Pets All",Pet Supplies › Cats › Carriers & Travel Products › Carriers,Pet Products,,,,PC-PCB03,,,ANIMAL_CARRIER,pecute,pecute,pecute,pecute,PC-PBT01,,Grey,34 cm L x 30 cm W x 42 cm H,1,count,"Non-toxic, chemical-free, breathable",,Mesh,Mesh,300D Cationic Oxford Cloth Breathable & Scratch-resistant Nylon Mesh 200D Cloth Reflective Strip,,"Cats, Small Dogs, Small Animals","A new pet carrier backpack may have a smell, please wipe it simply or place it in an outdoor ventilated place for hours before first use.","Travel cat carrier backpacks,Hiking pet backpack,Camping dog carrier backpack",,,,,,,1,,,,,1,yes,"[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/81vi+yznhYL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/799163f1-0dbe-4d5f-ba0e-0870bdbd8eda/default.vertical.jobtemplate.hls.m3u8""}]",,yes,6291,1110,1,42487,907,"Pet Carrier Backpack x 1, Safety Rope x 1, 2 Sided Cushion",,,,,no,no,,no,no,no,no,no,,,-,,,,AMAZON CHECK
B00ALGBHQ4,co.uk,https://m.media-amazon.com/images/I/71pFrhYItRL.jpg;https://m.media-amazon.com/images/I/81AxxgfdmcL.jpg;https://m.media-amazon.com/images/I/81TBGL6et1L.jpg;https://m.media-amazon.com/images/I/81t3JVD8dBL.jpg;https://m.media-amazon.com/images/I/819QVzWucZL.jpg;https://m.media-amazon.com/images/I/91t9AdcigoL.jpg,Biteback Products 'Sweet Relief' Midge Barrier & Skin Support Cream - Powerful Fly & Insect Barrier with Benzyl Benzoate for Horses - Essential Horse Product Midge Guard & Skin Protection - 500g,50,24.74,,24.97,1 %,2,25257,58 %,19,Pet Supplies,pet_products_display_on_website,# 32 | Top 0.24% | Grooming Products for Horses,10550,-108 %,,4.6,342,,-,2026/03/13 09:52,,0 %,MarketLeap (99%) / A3ME5AH25BPDS2,,24.99,0 %,92 %,2,0.06,8,yes,no,yes,yes,,,,100 %,24.74,24.97,1 %,0 %,,24.97,,,3.04,15 %,3.71,,,,,,,,,,,,,no,,,,,100 %,,,,,,,,,,,,,,,,24.99,24.99,0 %,,,,,,,2,1,,,2017/03/03,2022/05/31,Biteback-Products-ReliefTM-Barrier-Horses,Pet Supplies,Grooming,Pet Supplies › Horses › Grooming,Pet Products,642968265697,"0642968265697, 5065010831209",,BSRHC250,,"B00ALGBISG,B074N4F5SS",PET_SUPPLIES,Biteback Products,Biteback Products,,,1,,Cream,500 g (Pack of 1),500,gram,Neutral,,,,,,Horses,,"Coat,Scratching,Skin and Coat Problems,Mites,Midge Barrier",,,,,,,1,,,,,1,yes,"[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/61oCLtKTnVL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/b2fb7db3-99ef-4b5f-92f8-fbe355f9090a/default.jobtemplate.hls.m3u8""}]",,yes,998,560,1,203,560,Pot,"benzyl benzoate, benzyl alcohol, allantoin",,,,no,no,,no,no,no,no,no,,,-,,,,LOW SELLER CHECK
B0F9FFS9ZV,co.uk,https://m.media-amazon.com/images/I/71hoJtlrjEL.jpg;https://m.media-amazon.com/images/I/71UpP00yQIL.jpg;https://m.media-amazon.com/images/I/81MhWgMaklL.jpg;https://m.media-amazon.com/images/I/81l9v5OUULL.jpg;https://m.media-amazon.com/images/I/81VSNI8hBcL.jpg;https://m.media-amazon.com/images/I/71VRbDkzswL.jpg;https://m.media-amazon.com/images/I/71mzh5j6enL.jpg,"PKBD XL Stainless Steel Cat Litter Tray, 32L Large Litter Box with Detachable Enclosure, Includes XL Mat, Metal Scoop and Filter Pedal for Older Cats and Litter Saving, Suitable for Most Cats",100,36.99,,37.85,2 %,2,7307,-45 %,102,Pet Supplies,pet_products_display_on_website,# 88 | Top 0.13% | Cat Litter Boxes,10573,2 %,,4.8,46,,-,2026/03/16 09:24,5,1 %,CAMHTOO LTD (85%) / A18RUK5G5Q5QBT,,-,0 %,81 %,3,2.50,58,yes,no,yes,no,,,,100 %,36.99,37.65,2 %,0 %,,38.02,,8,5.70,15 %,5.55,,,,,,36.73,,,,,,,no,,,39.01,,92 %,,39.00,,,,,,,,,,,,39.00,,69.99,69.99,0 %,,,,,,,2,2,,1,2025/08/25,2025/06/19,PKBD-Stainless-Litter-Detachable-Enclosure,Pet Supplies,Litter Boxes,Pet Supplies › Cats › Litter & Housetraining › Litter Boxes,Pet Products,,6978421747979,,PKBD-2025 Stainless Litter Pan Black CL,,"B001MZV3OO,B07MGH27ZS",LITTER_BOX,PKBD,PKBD,PKBD,PKBD,PKBD-2025 Stainless Litter Pan Black CL,,Grey,Large/Extra-Large,1,count,,,,Modern,Stainless Steel,,,,,,,,,,,,,,,,0,no,,,yes,47970,3640,,84000,,"Cat Litter Mat, Filter Pedal, Metal Cat Litter Scoop, Silicone Non-slip Mat",,,,,no,no,,no,no,no,no,no,,,-,,,,LOW SELLER CHECK
B000YK5W18,co.uk,https://m.media-amazon.com/images/I/61smESjwI-L.jpg;https://m.media-amazon.com/images/I/71N-ZOENqfL.jpg;https://m.media-amazon.com/images/I/71WGmToebqL.jpg;https://m.media-amazon.com/images/I/71iw8Z-ZPTL.jpg;https://m.media-amazon.com/images/I/7178rRaaGbL.jpg;https://m.media-amazon.com/images/I/61vnoPP7VpL.jpg;https://m.media-amazon.com/images/I/61WzrONqClL.jpg;https://m.media-amazon.com/images/I/61YvDHbHaxL.jpg,"Fish Mate 14-feed Automatic Aquarium Fish Feeder (F14) - Quartz Timer Controlled for Precise Reliable Feeding with Ease, Serves Up to 14 Meals",50,22.90,22.95,22.91,0 %,8,26025,58 %,47,Pet Supplies,pet_products_display_on_website,# 7 | Top 0.07% | Automatic Feeders for Fish,10875,-47 %,,3.9,6716,,2176,2026/03/15 21:04,10,21 %,aquacadabra (93%) / A1PH60OYR84OEQ,,23.99,0 %,65 %,2,0.02,6,yes,no,yes,no,22.31,-3 %,,30 %,22.90,22.45,-2 %,2 %,,22.90,,114,2.94,15.02 %,3.44,,23.09,,42,,,,,,,,,no,,,,,100 %,,,,,,,,,,,,,,,,23.99,35.67,33 %,22.95,22.95,0 %,19.36,19.79,2 %,8,8,,,2011/04/09,2008/02/11,Fish-Mate-F14-Aquarium-Feeder,Pet Supplies,"Automatic Feeders, Categories, Home & Garden, Fish Food & Care, Fish & Reptiles",Pet Supplies › Fish & Aquatic Pets › Aquarium Accessories › Automatic Feeders,Pet Products,035368002076,0035368002076,00035368002076,04100207,B09RK6HLZ8,,PET_FEEDER,Pet Mate Ltd.,Fish Mate,Fish Mate,CatMate,207,Color: Multi;,Multi,0.4 l,1,count,,,,Reliable,Polypropylene,,Fish,Multiple Pets,Stomach,,,,,,,1,,,,French,0,no,,,yes,1429,290,1,640,227,"Automatic Feeder, Instructions",,,,,yes,no,,no,no,no,no,no,,,-,,,,AMAZON CHECK
B09TL57MR7,co.uk,https://m.media-amazon.com/images/I/719jvagkYdL.jpg;https://m.media-amazon.com/images/I/71BzxS1bY1L.jpg;https://m.media-amazon.com/images/I/71ajbSsHycL.jpg;https://m.media-amazon.com/images/I/61zcePp87iL.jpg;https://m.media-amazon.com/images/I/71s9upQdlNL.jpg;https://m.media-amazon.com/images/I/71zaa4wo3xL.jpg;https://m.media-amazon.com/images/I/71wlf8iB2VL.jpg;https://m.media-amazon.com/images/I/81jAxq69f4L.jpg;https://m.media-amazon.com/images/I/81QN-KiYweL.jpg,"Buddy & Lola Scoot Stopper Anal Gland Chews For Dogs - High Fibre Chews To Stop Scooting and Licking Under Tail with Natural Fibre Ingredients For Dogs Dandelion Root, Pumpkin Powder and Beet Pulp",50,27.96,,28.77,3 %,4,14300,25 %,50,Pet Supplies,pet_products_display_on_website,# 93 | Top 6% | Digestive Remedies for Dogs,10750,-2 %,,4.2,97,-2 %,46,2026/02/19 09:44,,4 %,Buddy and Lola (98%) / A3SG7H1HSSINH2,,-,0 %,96 %,1,1.47,8,yes,no,yes,yes,,,,100 %,27.96,28.83,3 %,0 %,27.96,29.84,6 %,,3.00,14.99 %,4.19,28.95,28.91,0 %,,,,,,,,,,no,,,,,100 %,,,,,,,,,,,,,,,,27.96,27.96,0 %,,,,,,,4,2,,,2022/03/06,2022/02/28,Buddy-Lola-Scoot-Stopper-Chews,Pet Supplies,"Digestive Remedies, Pet Health Supplies",Pet Supplies › Dogs › Health Supplies › Digestive Remedies,Pet Products,,5060928060024,,5060928060024,B0FP26KL9G,B09V1T2RK9,PET_SUPPLIES,Buddy & Lola,Buddy & Lola,Buddy & Lola,BuddyLola,5060928060024,Model: 5060928060024;,Brown,60 Soft Chews,60,count,Chicken & Bacon,,,,,,Dogs,,"Stomach,Anal Gland Support,Reduce Scooting",,,,,,Target,,,,,English: Ingredients,1,yes,"[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/619lcFj0uFL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/55edf0a9-9ea3-40c0-a00e-ccc241cde9f9/default.vertical.jobtemplate.hls.m3u8""}]",,yes,565,230,1,622,,60 Soft Chews,"Potato starch, tapioca, maltodextrin, potato flakes ,psyllium husk, dried pumpkin powder, apple pulp, dandelion root powder, pumpkin seed powder, Linseed expeller, coconut oil, rapeseed oil, Inactivated brewer’s yeast, Vegetable glycerine, Flavourings (unspecified)",,,,no,no,,no,no,no,no,no,,,-,,,,
B003ZG8ECW,co.uk,https://m.media-amazon.com/images/I/51Pq0842VdL.jpg,"Arcadia Reptile - ShadeDweller MiniT5 UVB Kit - 7% UVB, 8 Watt - Easy To Use & Install - Built In Reflector - Includes Fitting Kit & Link Cable - Suitable For Crepuscular Species",100,32.44,,32.30,0 %,8,9038,-21 %,140,Pet Supplies,pet_products_display_on_website,# 7 | Top 0.8% | Fluorescent Tubes for Terrariums,10931,-10 %,High,4.5,131,-2 %,-,2026/03/19 21:12,28,8 %,aquacadabra (93%) / A1PH60OYR84OEQ,GB,39.99,0 %,47 %,5,0.50,8,no,no,yes,no,,,,100 %,31.99,31.66,-1 %,0 %,33.07,33.19,0 %,280,3.06,14.99 %,4.86,31.99,31.67,-1 %,37,,,,,,,,,no,,,31.44,,79 %,,31.60,,,,,,,,,,,,31.59,,39.99,39.99,0 %,,,,,,,8,7,,1,2011/07/23,2010/11/15,Arcadia-Reptile-ShadeDweller-Reflector-Crepuscular,Pet Supplies,"Fluorescent Tubes, Fish Food & Care, Fish & Reptiles",Pet Supplies › Reptiles & Amphibians › Terrariums & Accessories › Habitat Lighting › Fluorescent Tubes,Pet Products,844046000545,0844046000545,,,,,PET_SUPPLIES,Arcadia,Arcadia,,,,,,1 Count (Pack of 1),1,count,,,,,Plastic,,,,,,,,,,,1,,,,,0,no,,,no,1859,461,1,,,,,,,,no,no,,no,no,no,no,no,,,-,,,,
B0847M8545,co.uk,https://m.media-amazon.com/images/I/61+1msF4eQL.jpg,Armitages Pet Things Good Boy Pawsley & Co Succulent Pigs In Blankets Dog Treat 320g (Pack of 3),50,22.73,,23.60,4 %,9,13891,21 %,68,Pet Supplies,pet_products_display_on_website,# 631 | Top 3% | Dog Biscuits & Snacks,10953,28 %,,4.7,383,0 %,-,2026/03/19 20:28,1,11 %,APG Prime (99%) / A1QVJ8O226FQXF,GB,26.97,0 %,31 %,11,1.76,73,yes,no,no,no,,,,100 %,21.00,23.66,11 %,0 %,22.73,24.23,6 %,25,2.90,15 %,3.41,21.00,23.90,12 %,482,,,,,,,,,no,,,,,100 %,,,,,,,,,,,,,,,,,26.97,,,,0 %,,,,9,6,,,2020/01/28,2020/01/27,320g-Pawsley-Succulent-Blankets-Treat,Pet Supplies,"Cookies, Biscuits & Snacks","Pet Supplies › Dogs › Treats › Cookies, Biscuits & Snacks",Pet Products,,5000239057788,,5778,,"B06XWTTPNS,B09WRP23GN",PET_FOOD,Armitages,Armitages,,,5778,,,320 g (Pack of 3),960,gram,,Pellet,,,,,,"Training, Appetite Stimulation, Sensitive Stomach",Training,Convenient and natural dog treat option,,,,,,3,,,,,0,no,,,no,2408,330,3,,,,"Chicken Breast (49%), Duck Breast (16%), Pork (16%), Glycerin, Corn Starch, Chicken Liver, Pea Protein, Pork Flavouring (2%), Salt. Additives: Sensory: Flavourings (Pork)",,"Chicken, Duck, Pork",,no,no,,no,no,no,no,no,,,-,,,,
B083FBGDJM,co.uk,https://m.media-amazon.com/images/I/61-MTk6imHL.jpg;https://m.media-amazon.com/images/I/61Z2F6r-fjL.jpg;https://m.media-amazon.com/images/I/61-5VOi4gZL.jpg;https://m.media-amazon.com/images/I/71B4ymjmNEL.jpg;https://m.media-amazon.com/images/I/710IWFqlOnL.jpg;https://m.media-amazon.com/images/I/61kXdxkyPeL.jpg;https://m.media-amazon.com/images/I/61YOv9wVxkL.jpg;https://m.media-amazon.com/images/I/61Ovdw3IQ7L.jpg;https://m.media-amazon.com/images/I/61scujYRN7L.jpg,"Eco Strong Stain and Odor Eliminator: Pet Odor and Stain Remover Carpet Cleaner - Enzyme Cleaner for Dog and Cat Urine - Pee Stain Remover and Deodorizer Spray - Floor, Grass Pee Pad, Rug - 1 Gallon",50,54.96,,69.42,21 %,4,57528,81 %,32,Pet Supplies,pet_products_display_on_website,# 47 | Top 6% | Dog Stain Removers,10988,-39 %,,4.5,910,-15 %,-,2026/03/19 18:04,3,8 %,BritUS Distributors. (100%) / A18M6OA0FEDLAA,,59.99,0 %,41 %,6,9.31,16,yes,no,yes,no,,,,100 %,54.96,69.90,21 %,0 %,54.96,59.47,8 %,46,3.56,13 %,7.14,90.31,79.50,-14 %,40,,,,,,,,,no,,,,,100 %,,,,,,,,,,,,,,,,,,,,,,,,,4,6,,,2020/05/16,2020/01/17,Eco-Strong-Stain-Odor-Eliminator,Pet Supplies,Stain Removers,Pet Supplies › Dogs › Litter & Housetraining › Odour & Stain Removers › Stain Removers,Health and Beauty,850013893027,0850013893027,,pet-beds,,,CLEANING_AGENT,Beyond Environmental,Eco Strong,,,pet-beds,,Clear,3.79 l (Pack of 1),3785.41,millilitre,Citrus,Spray,,,,,,Toilet,"Carpet, Rug, Floors, Ceramic, Furniture, Bedding, Laundry",,,,,,DIY & Tools,1,,,,,0,no,,,no,9331,4159,1,7047,3629,,Pet Stain & Odor Eliminator,,BioEnzymatic,,no,no,,no,no,no,no,no,,,-,,,,
B0DHRTT4BL,co.uk,https://m.media-amazon.com/images/I/71pq+B-60+L.jpg;https://m.media-amazon.com/images/I/714206mJq7L.jpg;https://m.media-amazon.com/images/I/71b7x6yEv8L.jpg;https://m.media-amazon.com/images/I/71FLHrdzkfL.jpg;https://m.media-amazon.com/images/I/71eygLDz1BL.jpg;https://m.media-amazon.com/images/I/81-A9PtGwjL.jpg;https://m.media-amazon.com/images/I/81MZchJippL.jpg,"HeatingLux Reptile Reflector Dome Lamp Fixture, 8.5in Basking Heat Lamp Tortoise, E27 Reptile Heat Lamp with Clamp, Heat Lamp for Tortoise, Reptile(AC220-240V)",100,22.99,,24.22,5 %,2,13895,20 %,41,Pet Supplies,pet_products_display_on_website,# 50 | Top 0.44% | Terrarium Heat Lamps,11164,-100 %,,4.4,51,,-,2026/03/19 17:16,,1 %,guangzhouweiguangweidianzishangwuyouxiangongsi (100%) / A1QZ7YQ9YLKAOV,,24.99,0 %,56 %,2,1.29,13,yes,no,yes,no,,,,100 %,22.99,24.10,5 %,0 %,,24.19,,167,3.48,15.01 %,3.45,,,,,,,,,,,,,no,,,,,100 %,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,2024/12/11,2024/09/23,HeatingLux-Reptile-Reflector-Tortoise-AC220-240V,Pet Supplies,Terrarium Heat Lamps,Pet Supplies › Reptiles & Amphibians › Terrariums & Accessories › Terrarium Heat Lamps,Lighting,,5056776420561,,XSB135,,B00GD8DJHE,LIGHT_BULB,"Lusta LED Co., Ltd",HeatingLux,HeatingLux,Heatinglux,XSB135,,Black,,1,count,,,,Dome,Aluminum,,,,"Reptile Enclosure, Terrarium",,,,,,,1,,,,,1,yes,"[{""creator"":""Creator: Main"",""image"":""https://m.media-amazon.com/images/I/51yCUS9LuJL.jpg"",""url"":""https://m.media-amazon.com/images/S/vse-vms-transcoding-artifact-eu-west-1-prod/3f8aa71f-d2f1-4f8f-93e3-15e88a50259b/default.jobtemplate.hls.m3u8""}]",,yes,9294,550,1,,550,,,,,,no,no,,no,no,no,no,no,,,-,,,,LOW SELLER CHECK
B097PK2PGB,co.uk,https://m.media-amazon.com/images/I/61IgsRJ059L.jpg;https://m.media-amazon.com/images/I/81wkFTgvZ5L.jpg;https://m.media-amazon.com/images/I/81584BaCDkL.jpg;https://m.media-amazon.com/images/I/81WLkZjBBNL.jpg;https://m.media-amazon.com/images/I/81WM5t+5rSL.jpg;https://m.media-amazon.com/images/I/71RH+xm+tbL.jpg;https://m.media-amazon.com/images/I/71hN5IAEfmL.jpg;https://m.media-amazon.com/images/I/81CZGUVZHFL.jpg,"Faroro Automatic Cat Feeder, 4L Cat Feeder with Timer up to 6 Meals Per Day, Portion Control, 10s Voice Recording, Suitable for Small and Medium Pets",50,29.99,,28.70,-4 %,2,11033,-5 %,103,Pet Supplies,pet_products_display_on_website,# 28 | Top 0.17% | Automatic Feeders for Cats,11616,38 %,,4.1,2149,-2 %,585,2026/03/17 23:14,526,2 %,wacaca (100%) / A116WN59SU4TTY,,39.99,0 %,99 %,1,2.34,41,yes,no,yes,no,40.01,,,80 %,29.99,28.45,-5 %,0 %,29.99,28.35,-6 %,526,3.49,14.99 %,4.50,,,,,25.49,25.49,11 %,,,,,,no,,20.37,22.04,8 %,22 %,20.37,22.22,8 %,,,,,20.38,,,,,20.37,22.16,29 %,39.99,39.99,0 %,,,,,,,3,2,1,2,2021/10/22,2021/07/19,Automatic-Portion-Control-Recording-Suitable,Pet Supplies,"Automatic Feeders, node 2, Pet Care & Health",Pet Supplies › Cats › Feeding & Watering Supplies › Automatic Feeders,Pet Products,"650380002721, 613497285425, 810112232202","0810112232202, 0650380002721, 0613497285425",,PF21,B0G1TF6NRT,,PET_FEEDER,faroro,faroro,faroro,Faroro,PF21,Size: 4L With No Camera;,White,4L With No Camera,1,count,,,4L Food Hopper,Automatic,Acrylonitrile Butadiene Styrene,,Cats,Dry Food,Indoor,,,,,,,1,,,2023-07-15,English: Manual,0,no,,,yes,11448,1920,1,11351,1730,"1 x Automatic Pet Dry Food Dispenser, 1 x Stainless Steel Bowl, 1 x USB Cable, 1 x User Manual",,,,,no,no,,no,no,no,no,no,,,-,,,,LOW SELLER CHECK
B0CWYJ2Q6J,co.uk,https://m.media-amazon.com/images/I/61x3a9nJfhL.jpg;https://m.media-amazon.com/images/I/818RvXoqzmL.jpg;https://m.media-amazon.com/images/I/81E-uhu2IzL.jpg;https://m.media-amazon.com/images/I/81FehgTMRDL.jpg;https://m.media-amazon.com/images/I/61qliEXMGvL.jpg;https://m.media-amazon.com/images/I/912JkXGgK0L.jpg,"Dog Prenatal Vitamins - Advanced Prenatal Supplement for Pregnant and Nursing Dogs - Rich in Folic Acid, Iron & Calcium - Supports Healthy Pregnancy, Puppy Development & Lactation - 90 Soft Chews",50,24.99,,24.85,-1 %,2,19720,52 %,30,Pet Supplies,pet_products_display_on_website,# 31 | Top 3% | Dog Multivitamins,9513,0 %,,4.6,209,,-,2026/02/12 12:20,267,9 %,H4U_ STORE (0%) / A3VFC6WKHO72NV,,-,0 %,100 %,1,0.51,13,yes,no,yes,yes,,,,100 %,24.99,24.89,0 %,9 %,,24.93,,267,3.00,15.01 %,3.75,,,,,,,,,,,,,no,,,,,100 %,,,,,,,,,,,,,,,,26.99,26.99,0 %,,,,,,,2,1,,,2024/10/12,2024/03/02,Prenatal-Vitamins-Folic-Acid-Calcium,Pet Supplies,"Multivitamins, Pet Health Supplies",Pet Supplies › Dogs › Health Supplies › Supplements & Vitamins › Multivitamins,Pet Products,,5061007900033,,,,,ANIMAL_VITAMIN,PregnaPaws,PREGNAPAWS,,,PP_001,,,,90,count,,Chews,,,,,,,"Prenatal vitamins for pregnant dogs that ensure a healthy pregnancy and strong puppy development,Supports Conception and Gestation,Aids the mother to regain strength and mineral balance.,Helps support pregnant or nursing dogs",,,,,,,,,,,,0,no,,,yes,804,320,,770,330,,,,,,no,no,,no,no,no,no,no,,,-,,,,LOW SELLER CHECK
