supplier,ean,asin,product_name,match_type,buy_cost,market_price,fees_current,fees_conservative,profit_current,profit_conservative,margin_current,margin_conservative,sales_estimate,decision,decision_reason,risk_flags
Aurora,5034566616349,B0DPN7F4JM,"AURORA, 61634, Palm Pals Aveline Airplane 5In, Soft Toy, White & Blue",UNIT,5.04,9.99,4.170498,4.170498,0.7795019999999999,0.7795019999999999,0.0780282282282282,0.0780282282282282,,REJECT,"Unprofitable — current £0.78, conservative £0.78 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Aurora,5034566615700,B0CLS1TXMW,"Aurora, 61570, Palm Pals Bobby Postbox, 5I, Soft Toy, Red and Black",UNIT,5.04,9.99,4.170498,4.170498,0.7795019999999999,0.7795019999999999,0.0780282282282282,0.0780282282282282,,REJECT,"Unprofitable — current £0.78, conservative £0.78 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Aurora,5034566318595,B0B7SD8BNQ,"Aurora, 31859, Mini Flopsie Slow Snail, 8In, Eco-friendly soft toy, Green & Brown",UNIT,5.04,9.99,4.170498,4.170498,0.7795019999999999,0.7795019999999999,0.0780282282282282,0.0780282282282282,,REJECT,"Unprofitable — current £0.78, conservative £0.78 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Asmodee,3558380099932,B0B58W5BC4,Asmodee | Dobble Disney Princess | Card Game | Ages 4+ | 2-8 Players | 15 Minutes Playing Time,UNIT,11.04,16.99,5.200199,5.200199,0.7498009999999997,0.7498009999999997,0.0441319011183048,0.0441319011183048,400.0,REJECT,"Unprofitable — current £0.75, conservative £0.75 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Learning Resources,5055506410438,B0BVBXX354,"Learning Resources Numberblocks Sequencing Puzzle Set, Ages 3+, Maths Jigsaw Puzzle, Learn to Count 1–20, Number Sequencing Toy, 20 Puzzles in a Box, Gifts for Kids",UNIT,7.848,12.95,4.35991,4.35991,0.7420900000000001,0.7420900000000001,0.0573042471042471,0.0573042471042471,,REJECT,"Unprofitable — current £0.74, conservative £0.74 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Learning Resources,5055506411428,B0CCW3Q675,"Learning Resources Numberblocks Race to Pattern Palace Board Game, Ages 3+, Colour & Pattern Recognition Game, Maths Skills Adventure for Kids, 2–4 Players",UNIT,10.896,17.25,5.62405,5.62405,0.7299500000000005,0.7299500000000005,0.0423159420289855,0.0423159420289855,200.0,REJECT,"Unprofitable — current £0.73, conservative £0.73 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555003151,B0D4QYS29W,Ravensburger Waterside Tavern 1000 Piece Jigsaw Puzzles for Adults and Kids Age 12 Years Up,UNIT,8.34,14.5,5.43645,5.43645,0.7235499999999995,0.7235499999999995,0.0498999999999999,0.0498999999999999,,REJECT,"Unprofitable — current £0.72, conservative £0.72 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555003229,B0D4R1DWT8,Ravensburger My Haven No 4. The Sewing Shed 1000 Piece Jigsaw Puzzles for Adults and Kids Age 12 Years Up,UNIT,8.34,14.49,5.430602,5.430602,0.719398,0.719398,0.049647895100069,0.049647895100069,,REJECT,"Unprofitable — current £0.72, conservative £0.72 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Ravensburger,4005555014546,B0DQQC3JFQ,Ravensburger Cosy Café No. 3 Valley Farm Cafe - 1000 Piece Jigsaw Puzzle for Adults and Kids 12 Years Up,UNIT,8.34,14.24,5.193152,5.193152,0.7068480000000008,0.7068480000000008,0.049638202247191,0.049638202247191,,REJECT,"Unprofitable — current £0.71, conservative £0.71 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
Learning Resources,5055506409920,B0BBH8KC5N,Learning Resources One and Two Playful Pals Numberblocks Plush Squishy Soft Tactile Toys for Toddlers Gifts for 18 mths 1 2 3 Year Old Kids Boys & Girls,UNIT,13.908,20.99,6.400599,6.400599,0.6814009999999993,0.6814009999999993,0.0324631252977608,0.0324631252977608,50.0,REJECT,"Unprofitable — current £0.68, conservative £0.68 (min £3.00)",AMAZON_ON_LISTING; INSUFFICIENT_HISTORY
