ASIN,Product Name,Brand,Category,Verdict,Composite Score,Current Price,FBA Fee,Est ROI %,Existing Account Found,Existing Account Name,Trade Price Found,Trade Price,Real ROI %,ROI Change,Route Code,Supplier Name,Supplier Website,Supplier Contact,MOQ,Notes,Outreach Email File
B0CST1ZJVT,Shires Tempest Original Fleece Rug - Maroon 5ft3,Shires,Pet Supplies,BRAND APPROACH,8.1,GBP34.19,GBP0.00,26.7%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B001F42NOQ,Johnsons Dog & Cat Anti Tangle Shampoo 5L,Bounce Generation,Pet Supplies,BRAND APPROACH,8.0,GBP24.78,GBP0.00,25.4%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0CCF2Q8G7,Brambles Crunchy Hedgehog Food - Also Suitable for Badgers and Foxes - Nutritious Food with Kasabona Blue Vinyl Gloves (Crunchy 8kg),KasaBona,Pet Supplies,YES,8.5,GBP30.95,GBP0.00,26.4%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B00I3KPAE0,"SPILLERS Performance Mix Horse Feed 20KG – Horse Feed for Optimum Performance Health – Food Containing Quality Protein, Vitamins and Minerals – Supports Digestive and Muscle Health",SPILLERS,Pet Supplies,MAYBE,8.1,GBP23.12,GBP0.00,25.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0F3T8WK4J,"Wheat Discs Duck Feed 15kg – Natural Floating Duck Food for Swans, Geese & Wild Birds – Healthy Whole Wheat Discs Waterfowl Floating Pellets – No Mess, No Waste",PERFECTONISH,Pet Supplies,MAYBE,8.2,GBP22.85,GBP0.00,25.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0F4XSGY47,"StormX Original Sweet Itch Zebra Rug - Black/White (5'9"")",HY EQUESTRIAN,Pet Supplies,BRAND APPROACH,8.0,GBP47.00,GBP0.00,27.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0DC128V57,"Fish4Cats Premium Wet Cat Food Variety Selection Pack | Sardine & Mackerel, Tuna & Salmon, Tuna & Cheese, Crab (40 tins x 70g)",Fish4Cats,Pet Supplies,BRAND APPROACH,8.0,GBP39.00,GBP0.00,27.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B07L9XRLG9,"Maximum Pet Products Tough chew waterproof dog bed (Small, Blue) 80cm x 60cm x 10cm",Maximum Pet Products,Pet Supplies,YES,8.5,GBP34.95,GBP0.00,26.8%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B08P7M76X4,Avonstar Classics Range Galvanised Feed Bin (Feed Trough),Avonstar Classics Range,Pet Supplies,MAYBE,8.1,GBP54.90,GBP0.00,28.0%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0F1YLG5B1,Royal Canin Medium Adult Dry Dog Food 12kg,ROYAL CANIN,Pet Supplies,MAYBE,8.0,GBP68.99,GBP0.00,28.4%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0BBGH5JFS,"Muck Grabber Stable Mate Manure Collector Long Handle Poop Scoop & Rake Stable Paddock Dock Tidy Ideal for Horse, Pony, Donkey, Dog, Leaves for Yard, Stable, Horsebox & Garden - 80 cm (Pistachio)",KetoPlastics,Pet Supplies,YES,8.5,GBP24.99,GBP0.00,25.5%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0BVBVRFWB,Copdock Mill Rabbits ears for dogs Natural dog treats without Fur 1Kg Bulk bag Improves dental hygiene and the overall health of your dog,Copdock Mill,Pet Supplies,BRAND APPROACH,8.1,GBP28.99,GBP0.00,26.1%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0FB9KWG7D,"TherapetMD 60-Day Cat Calming Diffuser - Cat Pheromone Diffuser for Stress, Pee Spraying, Cat Fighting, Aggression, Excessive Meowing & Scratching - 60-Day Refill Included - Packaging May Vary",TherapetMD,Pet Supplies,MAYBE,8.0,GBP40.99,GBP2.94,16.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B01M3N3GK1,Peregrine Livefoods Frozen Rat Small 90-150g - Pack of 5,Peregrine Livefoods,Pet Supplies,BRAND APPROACH,8.0,GBP27.35,GBP0.00,25.9%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0GLYD25JJ,"Small Dog Car Seat, Waterproof Dog Booster Seat with Clip-On Safety Leash, Elevated Car Dog Bed for Front or Back Seat, Travel Pet Bed for Puppies and Cats up to 15 kg",Skylos,Pet Supplies,MAYBE,8.3,GBP29.99,GBP0.00,26.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0BYXV378N,"Himalayan Everest Yak Chews for Dogs, Puppy Treats and Dog Bones to Promote Teeth Cleaning Dental Sticks Dogs, Natural Dog Treats, Dog Chews Long Lasting Natural (3 XX - Large)",Everest Travel & Tours (ETT),Pet Supplies,MAYBE,8.0,GBP29.95,GBP0.00,26.2%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B01CESYUVK,Maximum Pet Products Black Dog Training Lead 200ft/60m,Maximum Pet Products,Pet Supplies,YES,8.8,GBP23.95,GBP0.00,25.3%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B0BGJG1D9J,"Gallop Trojan Ponie 100G Horse Turnout Rug Standard Neck in Navy/Orange, 600 Denier (3'9"", Navy)",Gallop,Pet Supplies,MAYBE,8.4,GBP47.99,GBP0.00,27.7%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
B09S6KRKCS,"Gallop Combo Full Neck Lightweight Horse Fly Turnout Rug, UV Protect, Waterproof (5'6"", Navy / White)",Gallop,Pet Supplies,YES,8.5,GBP46.90,GBP0.00,27.6%,N,,N,,,UNKNOWN,UNCLEAR,,,,,No supplier accounts configured,
